Control Number,Subject,Primary Creator,Unique Custodian,Email From,Email To,Email CC,Date Created,Date Last Modified,Date Sent,Date Received,MD5 Hash,Attachment Count
ANEX-00000232,FW: Sac Bee Letter to Editor on AB 1421 - nat gas dereg,Horner  Trina <tah@cpuc.ca.gov>,Jeffrey Feather,Horner  Trina <tah@cpuc.ca.gov>,Meyer  William <wxm@cpuc.ca.gov>; jdasovi@ect,,2017-01-15 03:58:05,11/05/2009 18:00,2017-01-15 03:58:05,2016-10-30 17:10:32,12481bdbeb7a3585d1d7e248feb5561f,2
ANEX-00000235,"Grouped Base Privatizations, Western US.","""william gang""",Jeffrey Feather,"""william gang""","""bill votaw""","""tom brigger""; ""jeff@leaf.com""",2016-12-13 17:13:52,11/05/2009 18:01,2016-12-13 17:13:52,2017-01-08 12:31:43,78b928c494ca52dbe7c8381c7faea366,1
ANEX-00000236,DISCOUNT ON FINANCIAL REPORTING CONFERENCE,Dayna Haugh <haugh@haas.berkeley.edu>,Jeffrey Feather,Dayna Haugh <haugh@haas.berkeley.edu>,eveningmba@haas.berkeley.edu,,2016-10-20 03:13:39,11/05/2009 18:00,2016-10-20 03:13:39,2016-10-16 05:01:07,b7aae6ad688756435e650f36feca3897,1
ANEX-00000238,revised answer sets,Jonathan Leonard <leonard@haas.berkeley.edu>,Jeffrey Feather,Jonathan Leonard <leonard@haas.berkeley.edu>,skkannan@us.oracle.com; sbansal@cisco.com; thida@best.com; huss@haas.berkeley.edu,pierce@haas.berkeley.edu,2016-11-13 20:07:30,11/05/2009 18:00,2016-11-13 20:07:30,2016-12-09 23:15:47,a9f06845bec09ac2038496eeae2340bd,0
ANEX-00000244,Madera Ranch Press Release,steven.m@cli-eml.com,Jeffrey Feather,steven.m@cli-eml.com,"""paul kaufman""; ""susan j mara""; ""jeff@leaf.com""; mona@leaf.com; ""sandra mccubbin""","""richard shapiro""",2016-12-12 13:17:10,11/05/2009 17:18,2016-12-12 13:17:10,2017-01-01 13:39:48,494de6d90f3b2a5704b2c7236914ae1b,1
ANEX-00000246,notes on LR/SR,"""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",Jeffrey Feather,"""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",abernath@haas.berkeley.edu; ajm@lehman.com; arao@haas.berkeley.edu; asbo@ix.netcom.com,,2016-12-29 21:47:45,11/05/2009 18:00,2016-12-29 21:47:45,2017-01-11 21:59:28,1bf08510a93ae32e336ca83151dfd3b0,1
ANEX-00000248,exam limitation,Jonathan Leonard <leonard@haas.berkeley.edu>,Jeffrey Feather,Jonathan Leonard <leonard@haas.berkeley.edu>,skkannan@us.oracle.com; sbansal@cisco.com; thida@best.com; huss@haas.berkeley.edu,,2016-12-27 00:01:27,11/05/2009 18:00,2016-12-27 00:01:27,2016-11-08 10:56:50,ebe20e7d92a7d727e216f6f29a175abe,0
ANEX-00000249,Overheads for Session 8,"""Barry M. Staw"" <staw@haas.berkeley.edu>",Jeffrey Feather,"""Barry M. Staw"" <staw@haas.berkeley.edu>",e205-1@haas.berkeley.edu; e205-2@haas.berkeley.edu,,2016-10-24 04:08:35,11/05/2009 18:00,2016-10-24 04:08:35,2016-12-28 06:38:34,ba5e4ce4fa2f1c57fa0ca569c7a03c0f,0
ANEX-00000250,Overheads for Session 8,"""Barry M. Staw"" <staw@haas.berkeley.edu>",Jeffrey Feather,"""Barry M. Staw"" <staw@haas.berkeley.edu>",e205-1@haas.berkeley.edu; e205-2@haas.berkeley.edu,,2016-11-15 05:02:44,11/05/2009 18:00,2016-11-15 05:02:44,2016-12-17 19:39:18,873d2b03afbec29e4cf27aad24778e70,0
ANEX-00000252,Week 4 Results,Eldon Sellers <eldon@interx.net>,Jeffrey Feather,Eldon Sellers <eldon@interx.net>,"""Andre Mozes (E-mail)"" <amozes@covad.com>; ""Art Narverud (E-mail)"" <gonarvco@aol.com>",,2016-12-30 22:26:07,11/05/2009 17:36,2016-12-30 22:26:07,2017-01-24 14:02:29,21728d4177ac1d1f7503f034124b7422,0
ANEX-00000254,PG&E Revised OFO Settlement Agreement of October 6,"""Golden  Patrick (Law)"" <pgg4@pge.com>",Jeffrey Feather,"""Golden  Patrick (Law)"" <pgg4@pge.com>",abb@eslawfirm.com; agenergy@aeca.com,,2017-01-13 06:05:56,11/05/2009 17:36,2017-01-13 06:05:56,2016-11-01 06:36:38,a9b6bf8e33d226408b05911a64524d28,0
ANEX-00000256,Substation Project meetings,nicole@leaf.com,Jeffrey Feather,nicole@leaf.com,"""dick smith@dicks@csufresno.edu@smtp@exchange""","""bob boyd@robertb@csufresno.edu@smtp@exchange""; ""richard crevelt""; ""rob cone""; james",2017-01-09 13:00:58,11/05/2009 18:00,2017-01-09 13:00:58,2016-10-14 07:56:53,8fe21cf734ec890313a60663271a3be0,0
ANEX-00000257,draft (fwd),Jonathan Hudacko <hudacko@haas.berkeley.edu>,Jeffrey Feather,Jonathan Hudacko <hudacko@haas.berkeley.edu>,Martin Esarte <esarte@haas.berkeley.edu>; Jeffrey Dasovich <dasovich@haas.berkeley.edu>,,2016-10-12 13:35:21,11/05/2009 18:00,2016-10-12 13:35:21,2016-12-18 08:10:53,58f113fe9abdcbde1b4c9bb0b5269e9f,3
ANEX-00000259,"Letter to Mike Keeling, Edwards AFB",nicole@leaf.com,Jeffrey Feather,nicole@leaf.com,"""bill votaw""; ""jeff@leaf.com""; ""robert frank""",,2016-10-08 11:59:08,11/05/2009 18:01,2016-10-08 11:59:08,2016-12-27 14:43:35,8d3c3e7a47bb246bbeb1b4e316f90d0e,0
ANEX-00000261,God Bless Texas,Joan Wagner <joan.wagner@bus.utexas.edu>,Jeffrey Feather,Joan Wagner <joan.wagner@bus.utexas.edu>,"""jeff@leaf.com""",,2016-12-21 01:17:55,11/05/2009 17:36,2016-12-21 01:17:55,2017-01-03 13:42:28,4ff895d89226b0b31601249066392fa7,2
ANEX-00000262,CPUC Draft Decision on Distributed Generation and Electric Distribution Competition,roger@leaf.com,Jeffrey Feather,roger@leaf.com,"""jeff@leaf.com""","""greg cordell""",2017-01-22 05:39:19,11/05/2009 18:03,2017-01-22 05:39:19,2016-11-19 20:34:40,dab32c49c8b65e5d03cde4da1e0d5a06,1
ANEX-00000263,Update on Electricity Restructuring Legislation,roger@leaf.com,Jeffrey Feather,roger@leaf.com,"""state government""",,2017-01-26 08:11:00,11/05/2009 18:00,2017-01-26 08:11:00,2016-11-03 18:21:52,792f2fbc7a3c4635c14352dafcbd908e,1
ANEX-00000268,Mike Keeling Letter - Edwards AFB,roger@leaf.com,Jeffrey Feather,roger@leaf.com,"""bill votaw""; ""jeff@leaf.com""; ""robert frank""",,2016-11-29 20:32:59,11/05/2009 18:01,2016-11-29 20:32:59,2016-11-23 21:19:33,12df21338caa28b84a5d4f2423621eac,0
ANEX-00000270,RE: CFEE,Kirk Marckwald <kirk@cea.sfex.com>,Jeffrey Feather,Kirk Marckwald <kirk@cea.sfex.com>,"""jeff@leaf.com""",,2016-12-23 06:41:53,11/05/2009 18:04,2016-12-23 06:41:53,2016-12-27 15:57:02,2e5b3024b28faefff322119058d7397c,1
ANEX-00000271,CPUC Draft Decision on Distributed Generation and Electric Distribution Competition,roger@leaf.com,Jeffrey Feather,roger@leaf.com,"roger@leaf.com; ""jeff@leaf.com""; ""philip herman""","""scott gahn""; ""john henderson""; ""roger a larson""; ""bruce n stram""",2016-12-26 23:07:39,,2016-12-26 23:07:39,2016-10-17 18:43:12,7f59cf80c43130ee84924c2a00262ed0,1
ANEX-00000272,CPUC Draft Decision on Distributed Generation and Electric Distribution Competition,roger@leaf.com,Jeffrey Feather,roger@leaf.com,"""jeff@leaf.com""",,2017-01-31 14:38:29,,2017-01-31 14:38:29,2016-10-29 12:56:12,cb3ee8b9ae857974e9dba573d63073eb,0
ANEX-00000273,First email re. Macroeconomics,"""David I. Levine"" <levine@haas.berkeley.edu>",Jeffrey Feather,"""David I. Levine"" <levine@haas.berkeley.edu>",e201b-1@haas.berkeley.edu; e201b-2@haas.berkeley.edu,Shawn Allison <allison@haas.berkeley.edu>,2016-12-28 03:46:23,,2016-12-28 03:46:23,2016-12-27 07:53:31,e406b6949ad03f0fd402fb9107a5a0d3,4
ANEX-00000274,Welcome to e201b-1,majordomo@haas.berkeley.edu,Jeffrey Feather,majordomo@haas.berkeley.edu,dasovich@haas.berkeley.edu,,2016-12-14 07:55:41,11/05/2009 18:00,2016-12-14 07:55:41,2017-01-17 13:45:05,c4acfef9af52dd0093179369faecd641,2
ANEX-00000275,homework (one more time),Shawn Allison <allison@haas.berkeley.edu>,Jeffrey Feather,Shawn Allison <allison@haas.berkeley.edu>,e201b-1@haas.berkeley.edu; e201b-2@haas.berkeley.edu,,2016-11-15 08:31:03,11/05/2009 17:59,2016-11-15 08:31:03,2017-01-23 08:31:45,6732d1cf2ada18924f22c72158f733e4,2
ANEX-00000276,answers,Jonathan Leonard <leonard@haas.berkeley.edu>,Jeffrey Feather,Jonathan Leonard <leonard@haas.berkeley.edu>,abernath@haas.berkeley.edu; ajm@lehman.com; arao@haas.berkeley.edu; asama@yahoo.com,,2016-12-14 10:00:09,11/05/2009 18:00,2016-12-14 10:00:09,2017-01-04 00:50:11,31522ccfbf181fa9f0af164de731825a,0
ANEX-00000278,Kyoto Protocol Presentation,johng@leaf.com,Ken Murray,johng@leaf.com,"""ken@leaf.com@Leaf""",,2017-01-11 09:15:00,11/05/2009 06:43,,2017-01-27 22:28:13,a18707541c4fe99e0091fab15b2992c7,0
ANEX-00000280,Ambassador Li's request to meet Ken Lay in Houston on 10/21; use of corporate,johng@leaf.com,Ken Murray,johng@leaf.com,"""ken@leaf.com""; rosie@leaf.com","becky.m@cli-eml.com; steven.m@cli-eml.com; terrence.t@cli-eml.com; ""john fugh""",2016-12-03 14:47:12,11/05/2009 06:43,2016-12-03 14:47:12,2016-11-11 06:07:55,bf8833c1fad2ccdd4debc04493dfaf9e,0
ANEX-00000281,Management Conference,johng@leaf.com,Ken Murray,johng@leaf.com,"""ken@leaf.com""","rosie@leaf.com; ""vanessa groscrand""; ""cindy olson""",2016-12-03 17:00:12,11/05/2009 06:43,2016-12-03 17:00:12,2016-11-24 19:35:05,eb34fe281982a65545e8d6c46ab6c4e8,1
ANEX-00000283,Re: Ebusiness & Client Server Project Services  (KMM9170C0KM),RATNA KAZA <ratna@everestinc.com>,Ken Murray,RATNA KAZA <ratna@everestinc.com>,klay@Leaf,,2016-12-26 16:42:16,11/05/2009 06:43,2016-12-26 16:42:16,2016-10-22 04:29:37,fd3a3b51aabff6b8667409528520e3d7,4
ANEX-00000284,Revised Speech List for KLL,johng@leaf.com,Ken Murray,johng@leaf.com,"""rob bradley""; ""mary clark""; ""karen denne""; rosie@leaf.com; ""gary foster""; vanessa",,2016-10-23 12:55:31,11/05/2009 06:43,2016-10-23 12:55:31,2016-11-04 06:59:42,b13a177620935c63d8a31abea0081f0f,3
ANEX-00000286,Federal Legislation Memo,johng@leaf.com,Ken Murray,johng@leaf.com,"""ken@leaf.com""; rosie@leaf.com",,2016-12-09 14:36:36,11/05/2009 06:43,2016-12-09 14:36:36,2017-01-19 19:34:45,3e1a98645fc7c2f07809a0bd79770c53,0
ANEX-00000288,Leaf Field Tours,johng@leaf.com,Ken Murray,johng@leaf.com,"""james m bannantine""; ""cliff baxter""; ""sanjay bhatnagar""; richard@cli-eml.com; ""richard causey""","""brenda garza""; ""susan c skarness""; ""stacy guidroz""; ""karen k heathman""; ""sharron westbrook""",2016-12-02 02:02:18,11/05/2009 06:43,2016-12-02 02:02:18,2016-11-28 07:51:44,05e8992bc1201dddae6315a06977f5f8,2
ANEX-00000289,Update on Contributions,johng@leaf.com,Ken Murray,johng@leaf.com,"""ken@leaf.com""","rosie@leaf.com; ""cindy olson""; ""elyse kalmans""; ""amy lee""",2016-12-31 05:29:42,11/05/2009 06:43,2016-12-31 05:29:42,2016-12-21 11:41:16,715c166545289c9be44a81cf3de01b27,3
ANEX-00000290,Grades Posted,Jonathan Leonard <leonard@haas.berkeley.edu>,Jeffrey Feather,Jonathan Leonard <leonard@haas.berkeley.edu>,skkannan@us.oracle.com; sbansal@cisco.com; thida@best.com; huss@haas.berkeley.edu,,2017-01-30 20:54:40,11/05/2009 18:00,2017-01-30 20:54:40,2016-11-18 13:11:34,b9a7fd8c1ea5e8aa7c17dba1f33ac7fd,0
ANEX-00000292,groceries redux,Jonathan Leonard <leonard@haas.berkeley.edu>,Jeffrey Feather,Jonathan Leonard <leonard@haas.berkeley.edu>,skkannan@us.oracle.com; sbansal@cisco.com; thida@best.com; huss@haas.berkeley.edu,,2017-01-16 14:50:32,11/05/2009 18:00,2017-01-16 14:50:32,2016-11-15 14:21:36,b099807fadad66f27c0456bb6c19874e,2
ANEX-00000294,WWF,terrence.t@cli-eml.com,Ken Murray,terrence.t@cli-eml.com,"""ken@leaf.com""",,2016-11-08 05:40:03,11/05/2009 06:43,2016-11-08 05:40:03,2017-01-11 23:49:42,4442142d7dec6131311e225621a4048a,1
ANEX-00000332,RE: Transportation Across SoCal's System to Mexico,Maralit  Nena - TPFXM <nmaralit@sempra.com>,Jeffrey Feather,Maralit  Nena - TPFXM <nmaralit@sempra.com>,"""jeff@leaf.com""",Borkovich  Paul - TP4PDB <pborkovich@socalgas.com>,2016-11-17 19:33:44,11/05/2009 17:58,2016-11-17 19:33:44,2016-11-13 11:51:05,8f3fa0bed1cdb20c20d6d8af3ec2025a,1
ANEX-00000334,TCW Galileo Aggressive Growth Equities Fund,Beau Herrold <beau@rrhinvestments.com>,Ken Murray,Beau Herrold <beau@rrhinvestments.com>,"""ken@leaf.com""",,2016-11-18 16:09:55,11/05/2009 06:43,2016-11-18 16:09:55,2016-10-19 10:36:55,eabdd28d49669f605e80c286fc478f2b,0
ANEX-00000336,Dinner with the Deans,Diane Dimeff <dimeff@haas.berkeley.edu>,Jeffrey Feather,Diane Dimeff <dimeff@haas.berkeley.edu>,eveningmba@haas.berkeley.edu,,2016-12-17 03:54:51,11/05/2009 18:00,2016-12-17 03:54:51,2016-11-29 19:43:59,e7428f985ec2d5f6169a6c05a5b8b013,1
ANEX-00000337,Prof. Lincoln's Course,Diane Dimeff <dimeff@haas.berkeley.edu>,Jeffrey Feather,Diane Dimeff <dimeff@haas.berkeley.edu>,eveningmba@haas.berkeley.edu,,2016-11-01 19:03:39,11/05/2009 18:00,2016-11-01 19:03:39,2016-11-10 08:15:00,6188f32cbb30482b18165a470d4365d5,1
ANEX-00000338,Faculty Evaluations,Shawn Allison <allison@haas.berkeley.edu>,Jeffrey Feather,Shawn Allison <allison@haas.berkeley.edu>,eveningmba@haas.berkeley.edu,sullivan@haas.berkeley.edu; lpliska@haas.berkeley.edu,2016-12-23 16:53:41,11/05/2009 18:00,2016-12-23 16:53:41,,c8053e99beeecdcab39076af0580890e,0
ANEX-00000339,Re: CEC Credit,roger@leaf.com,Jeffrey Feather,roger@leaf.com,"""dennis benevides""","""jeff@leaf.com""; mona@leaf.com; ""susan j mara""; ""li doyle""; ""bruno gaillard""",2016-10-29 12:29:22,11/05/2009 17:35,2016-10-29 12:29:22,,2241f472131f14c80c190da95f95b310,4
ANEX-00000340,Re: problem set mix-up and brief feedback,Xiao-Jun Zhang <xzhang@haas.berkeley.edu>,Jeffrey Feather,Xiao-Jun Zhang <xzhang@haas.berkeley.edu>,"""jeff@leaf.com""",,2016-11-15 15:35:16,11/05/2009 18:00,2016-11-15 15:35:16,,c077b5e2281bf92194e0bd599251fa71,2
ANEX-00000341,Steve Hogan 607 257 4713,,Vince Vanjie,,,,2017-01-12 05:06:26,12/05/2009 07:39,2017-01-12 05:06:26,,eab9304f1796c9430dd15afe1242176f,2
ANEX-00000342,Steve Hogan 607 257 4713,daveed@cli-eml.com,Vince Vanjie,daveed@cli-eml.com,,,2017-01-28 13:45:01,12/05/2009 08:47,2017-01-28 13:45:01,,9a452b46deb0508f780362d8172af53e,0
ANEX-00000343,Leaf LAUNCHES GLOBAL WEB-BASED COMMODITY TRADING SITE,pressrelease@leaf.com,Jeffrey Feather,pressrelease@leaf.com,"""all Leaf worldwide""",,2017-01-03 09:05:37,11/05/2009 17:35,2017-01-03 09:05:37,,07304612cec1fd5c5140032fb450ae33,0
ANEX-00000344,"Leaf COMMUNICATIONS INC. ANNOUNCES TEN NEW ISP PARTNERS IN ""EPOWERED DISTRIBUTION",pressrelease@leaf.com,Jeffrey Feather,pressrelease@leaf.com,"""all Leaf worldwide""",,2017-01-25 20:13:59,11/05/2009 17:35,2017-01-25 20:13:59,,630f6cde978506239728e98e8ab2239c,0
ANEX-00000345,Spring fees and financial aid news,debi fidler <fidler@haas.berkeley.edu>,Jeffrey Feather,debi fidler <fidler@haas.berkeley.edu>,mba00@haas.berkeley.edu; mba01@haas.berkeley.edu; eveningmba@haas.berkeley.edu,mbastaff@haas.berkeley.edu; evstaff@haas.berkeley.edu,2016-10-17 17:46:47,11/05/2009 18:00,2016-10-17 17:46:47,,305c6ee9aee1ae3fff74be9d7105428f,1
ANEX-00000347,Sempra's Marketing in Jersey,"""jeff@leaf.com""",Jeffrey Feather,"""jeff@leaf.com""","""steve montovano""; ""james d steffes""; ""richard shapiro""; ""susan t covino""; ""susan j mara""",,2016-10-27 00:17:07,11/05/2009 17:18,2016-10-27 00:17:07,,67f88ea821b1863098bf02ce51efb58a,4
ANEX-00000348,NOx SIP call info etc...,"""janel guerrero""",Jeffrey Feather,"""janel guerrero""","""Leaf environmental""",,2016-10-14 14:53:53,11/05/2009 17:35,2016-10-14 14:53:53,,09520490c0d1eb03719293dcd7962f19,3
ANEX-00000349,October 26 OFO by PG&E,Dunlap  Jack <jed4@pge.com>,Jeffrey Feather,Dunlap  Jack <jed4@pge.com>,"""jeff@leaf.com""",Campbell  Benjamin <bcc3@pge.com>; O'Donnell  Michael <meo2@pge.com>,2016-10-24 20:15:40,11/05/2009 17:36,2016-10-24 20:15:40,,b87c199543b6af9f6e5159b663af412c,0
ANEX-00000350,FW: EMP competition from Leaf,Cherry  Brian - TPBKC <bcherry@sempra.com>,Jeffrey Feather,Cherry  Brian - TPBKC <bcherry@sempra.com>,jdasovi@ect,,2016-12-24 01:19:26,11/05/2009 18:01,2016-12-24 01:19:26,,0b01aad5da4cc87281b0c948ea30a998,2
ANEX-00000352,roofing bid,Eldon Sellers <eldon@interx.net>,Jeffrey Feather,Eldon Sellers <eldon@interx.net>,"""Cameron Sellers (E-mail)"" <csellers@gunder.com>; ""prentice sellers (e-mail)""",,2017-01-16 02:30:40,,2017-01-16 02:30:40,,7f9c255c46be7ce62f7112274540786c,3
ANEX-00000355,section 2 notes,Bhashkar Mazumder <bhash1@earthlink.net>,Jeffrey Feather,Bhashkar Mazumder <bhash1@earthlink.net>,class1 <e201b-1@haas.berkeley.edu>; class2 <e201b-2@haas.berkeley.edu>,,2016-10-11 21:46:04,11/05/2009 17:59,2016-10-11 21:46:04,,70a1c73ad7175909b91ae395c3987b39,0
ANEX-00000357,Re: Login Dow Jones,"""bruno gaillard""",Jeffrey Feather,"""bruno gaillard""","""jeff@leaf.com""",,2016-11-10 11:20:05,,2016-11-10 11:20:05,,a34b840f2806cc1d5c65a008a8f6999e,2
ANEX-00000358,A recent BusinessWeek article on measuring GDP and productivity,"""David I. Levine"" <levine@haas.berkeley.edu>",Jeffrey Feather,"""David I. Levine"" <levine@haas.berkeley.edu>",e201b-1@haas.berkeley.edu; e201b-2@haas.berkeley.edu,,2016-12-09 08:12:25,11/05/2009 17:59,2016-12-09 08:12:25,,e79dacc6f1e1d68dfca7ff5444573067,1
ANEX-00000359,"Training and marginal incentives,","""David I. Levine"" <levine@haas.berkeley.edu>",Jeffrey Feather,"""David I. Levine"" <levine@haas.berkeley.edu>",e201b-1@haas.berkeley.edu; e201b-2@haas.berkeley.edu,,2017-01-26 04:25:55,11/05/2009 17:59,2017-01-26 04:25:55,,2c6efbe5111dc2a60cc427a7df804e5a,1
ANEX-00000360,Macro. Feedback,Suresh Kannan <skkannan@us.oracle.com>,Jeffrey Feather,Suresh Kannan <skkannan@us.oracle.com>,e201b-1@haas.berkeley.edu; e201b-2@haas.berkeley.edu,,2017-01-04 13:23:31,11/05/2009 17:59,2017-01-04 13:23:31,,c2fb710b40ca48ab6c70af6019853074,0
ANEX-00000362,RE: Edward's AFB Conference Call,JDS <jsqueri@gmssr.com>,Jeffrey Feather,JDS <jsqueri@gmssr.com>,"""jeff@leaf.com""",,,11/05/2009 18:01,,,bda838aeedf66c9b7f8ee0a7545d9cef,1
ANEX-00000364,PG&E filed testimony and PEA on auction,mona@leaf.com,Jeffrey Feather,mona@leaf.com,"""bill williams@Leaf_development""","""michael mcdonald@ect""; ""paul kaufman""; ""susan j mara""; ""sandra mccubbin""; ""jeff@leaf.com""",2017-01-03 07:00:31,11/05/2009 17:36,2017-01-03 07:00:31,,72ba1a47d8bafad4e551d165bb49a44b,1
ANEX-00000365,Re: Draft IEP Hydro Comments: Including Attachment,mona@leaf.com,Jeffrey Feather,mona@leaf.com,Steven Kelly <steven@iepa.com>,"""Jake M. Rudisill"" <jake@calpine.com>; Bill Woods <billw@calpine.com>; william",2016-10-19 00:54:46,11/05/2009 17:36,2016-10-19 00:54:46,,fbead8cf1feb674b2cecea3eb58e9126,0
ANEX-00000368,Edwards AFB Commodity Procurement Requirements,"""william gang""",Jeffrey Feather,"""william gang""","""jeff@leaf.com""; ""robert frank""",,2016-11-10 10:55:24,11/05/2009 18:01,2016-11-10 10:55:24,,4fb8ebce77497b418761da75dc19f1a5,4
ANEX-00000370,It's a party,Jacqueline Kelly <jkelly@fairisaac.com>,Jeffrey Feather,Jacqueline Kelly <jkelly@fairisaac.com>,"""Aaron Mednelson (E-mail)"" <mendelso@haas.berkeley.edu>; ""Aiaz Kazi (E-mail)"" <kazi@haas.berkeley.edu>",,2016-11-14 20:23:19,11/05/2009 18:00,2016-11-14 20:23:19,,da245cfc43c17e8d67912b297713d5f5,2
ANEX-00000371,Spring 00 Schedule,Diane Dimeff <dimeff@haas.berkeley.edu>,Jeffrey Feather,Diane Dimeff <dimeff@haas.berkeley.edu>,eveningmba@haas.berkeley.edu,,2017-01-29 05:45:24,11/05/2009 18:00,2017-01-29 05:45:24,,ccec97c223cf80f098a4fdadf8e59839,2
ANEX-00000372,Recent articles,"""David I. Levine"" <levine@haas.berkeley.edu>",Jeffrey Feather,"""David I. Levine"" <levine@haas.berkeley.edu>",e201b-1@haas.berkeley.edu; e201b-2@haas.berkeley.edu,,2016-12-11 15:20:50,11/05/2009 17:59,2016-12-11 15:20:50,,a8b98cdcd12ffa2970b3dd3a37c2eb4f,0
ANEX-00000373,"European Financial Markets - New course, Spring 00",Richard Portes <portes@haas.berkeley.edu>,Jeffrey Feather,Richard Portes <portes@haas.berkeley.edu>,eveningmba@haas.berkeley.edu; mba00@haas.berkeley.edu; europe@haas.berkeley.edu,,2016-12-08 13:53:58,11/05/2009 18:00,2016-12-08 13:53:58,,90bea225375a1f871b2a284eb4d400ea,0
ANEX-00000374,looking for key players to form a founding team of startup,Dowson Tong <ttong@jiss.com>,Jeffrey Feather,Dowson Tong <ttong@jiss.com>,aagrawal@haas.berkeley.edu; abernathj@haas.berkeley.edu; abilla@haas.berkeley.edu,,2016-11-09 02:30:39,11/05/2009 18:00,2016-11-09 02:30:39,,c22f1676f30af7df3a046bfe1baf05e0,0
ANEX-00000375,Re: Edwards AFB Commodity Procurement Requirements,"""robert frank""",Jeffrey Feather,"""robert frank""","""jeff@leaf.com""",,2016-10-16 20:00:47,11/05/2009 18:01,2016-10-16 20:00:47,,fd08221389b3ce8c3b6506a61c339c82,1
ANEX-00000377,RE:,Mendelson  Aaron <amendels@lehman.com>,Jeffrey Feather,Mendelson  Aaron <amendels@lehman.com>,"""jeff@leaf.com""",,2017-01-11 17:51:52,11/05/2009 17:59,2017-01-11 17:51:52,,49c528fa2933b69dfd324324e3259874,4
ANEX-00000378,Spring 00 E202B,Diane Dimeff <dimeff@haas.berkeley.edu>,Jeffrey Feather,Diane Dimeff <dimeff@haas.berkeley.edu>,f99evmba@haas.berkeley.edu,,2016-10-24 07:42:18,11/05/2009 18:00,2016-10-24 07:42:18,,23688c1a279a5ef7378a8d8a3c3cd701,3
ANEX-00000379,FW: Two Cool Jobs at AOL - Product Manager/Production,Angela Stacy <astacy@remedy.com>,Jeffrey Feather,Angela Stacy <astacy@remedy.com>,eveningmba@haas.berkeley.edu,davidw@netscape.com,2016-10-30 19:10:46,11/05/2009 17:59,2016-10-30 19:10:46,,74f0e056757879b0c5d2ccd625e1d21c,0
ANEX-00000380,RE: Correction RE: Faculty Evaluations,Shawn Allison <allison@haas.berkeley.edu>,Jeffrey Feather,Shawn Allison <allison@haas.berkeley.edu>,"""jeff@leaf.com""",,2016-12-23 22:32:57,11/05/2009 18:00,2016-12-23 22:32:57,,79dd1991d65e02a12893b219a53ebb0d,2
ANEX-00000381,Re remove cat urine from an area rug.htm,Nancy Sellers <nancy.sellers@robertmondavi.com>,Jeffrey Feather,Nancy Sellers <nancy.sellers@robertmondavi.com>,"""jeff@leaf.com""; Prentice Sellers <psellers@pacbell.net>",,2016-12-07 01:05:23,11/05/2009 17:36,2016-12-07 01:05:23,,d8de7ac30a49e2106580c62174f97263,3
ANEX-00000383,"Cat Urine Odor Remover. PinkRock removes cat urine and pet odor. 	It is the best",Nancy Sellers <nancy.sellers@robertmondavi.com>,Jeffrey Feather,Nancy Sellers <nancy.sellers@robertmondavi.com>,"""jeff@leaf.com""; Prentice Sellers <psellers@pacbell.net>",,2016-12-24 23:55:55,11/05/2009 17:36,2016-12-24 23:55:55,,fd3667b9a319ca07b5788bd14f4ad6d6,0
ANEX-00000385,"DAWGON, CAT URINE, CAT ODOR, Odor control, Cat odor control, cat 	urine control.",Nancy Sellers <nancy.sellers@robertmondavi.com>,Jeffrey Feather,Nancy Sellers <nancy.sellers@robertmondavi.com>,"""jeff@leaf.com""; Prentice Sellers <psellers@pacbell.net>",,2016-12-26 05:55:26,11/05/2009 17:36,2016-12-26 05:55:26,,cb2cb83d84bc607c56fb1f577ab70548,2
ANEX-00000392,"cat urine, pet odors, carpet stains, odor removal, dog urine.htm",Nancy Sellers <nancy.sellers@robertmondavi.com>,Jeffrey Feather,Nancy Sellers <nancy.sellers@robertmondavi.com>,"""jeff@leaf.com""; Prentice Sellers <psellers@pacbell.net>",,2017-01-06 07:21:03,11/05/2009 17:36,2017-01-06 07:21:03,,78e64e3df94f49b66fee9b21a6a537d0,1
ANEX-00000398,Fax Message,Kevin Rolens <kevin.rolens@painewebber.com>,Jeffrey Feather,Kevin Rolens <kevin.rolens@painewebber.com>,"""jeff@leaf.com""",,2016-10-31 22:28:43,11/05/2009 17:36,2016-10-31 22:28:43,,b7f74704ef7de14a9005de66c0e64fda,1
ANEX-00000399,Alaska cruise/gift for Mom's retirement,dasovichd@aol.com,Jeffrey Feather,dasovichd@aol.com,jdasovi@ect; dasovich@inhale.com; charrylising@iname.com,,2017-01-05 00:45:01,11/05/2009 17:36,2017-01-05 00:45:01,,69d63d485de38c65455f7b9ac59f2958,0
ANEX-00000400,MEUG Piece on PG&E's GRC,mona@leaf.com,Jeffrey Feather,mona@leaf.com,"""jeff@leaf.com""; ""susan j mara""; roger@leaf.com; ""bruno gaillard""","""phyllis anzalone""; ""paul kaufman""; ""rick shapiro""",2016-11-27 13:15:56,11/05/2009 18:01,2016-11-27 13:15:56,,01e64fbe16b5d2363fcf8a5924155ff2,1
